,STATION,NAME,DATE,LATITUDE,LONGITUDE,EMNT
41,USC00010160,"ALEXANDER CITY, AL US",2014,32.9452,-85.948,-15.6
42,USC00010160,"ALEXANDER CITY, AL US",2015,32.9452,-85.948,-12.8
43,USC00010160,"ALEXANDER CITY, AL US",2016,32.9452,-85.948,-6.7
44,USC00010160,"ALEXANDER CITY, AL US",2017,32.9452,-85.948,-10.0
45,USC00010160,"ALEXANDER CITY, AL US",2018,32.9452,-85.948,-12.2
46,USC00010160,"ALEXANDER CITY, AL US",2019,32.9452,-85.948,-7.8
51,USC00010178,"ALICEVILLE, AL US",2019,33.1272,-88.155,-11.1
74,USC00010252,"ANDALUSIA 3 W, AL US",2014,31.3071,-86.5226,-12.2
76,USC00010252,"ANDALUSIA 3 W, AL US",2016,31.3071,-86.5226,-5.6
10,USC00010260,"LEXINGTON, AL US",2014,34.96285,-87.37195,-17.2
12,USC00010260,"LEXINGTON, AL US",2016,34.96285,-87.37195,-11.1
14,USC00010260,"LEXINGTON, AL US",2018,34.96285,-87.37195,-15.6
15,USC00010260,"LEXINGTON, AL US",2019,34.96285,-87.37195,-9.4
40,USC00010390,"ATHENS, AL US",2014,34.7752,-86.9508,-15.0
41,USC00010390,"ATHENS, AL US",2015,34.7752,-86.9508,-14.4
42,USC00010390,"ATHENS, AL US",2016,34.7752,-86.9508,-7.2
43,USC00010390,"ATHENS, AL US",2017,34.7752,-86.9508,-11.7
44,USC00010390,"ATHENS, AL US",2018,34.7752,-86.9508,-12.2
45,USC00010390,"ATHENS, AL US",2019,34.7752,-86.9508,-8.3
51,USC00010402,"ATMORE, AL US",2014,31.182,-87.439,-10.6
52,USC00010402,"ATMORE, AL US",2015,31.182,-87.439,-9.4
53,USC00010402,"ATMORE, AL US",2016,31.182,-87.439,-3.3
54,USC00010402,"ATMORE, AL US",2017,31.182,-87.439,-6.1
55,USC00010402,"ATMORE, AL US",2018,31.182,-87.439,-10.6
56,USC00010402,"ATMORE, AL US",2019,31.182,-87.439,-4.4
17,USC00010425,"AUBURN NUMBER 2, AL US",2014,32.5992,-85.4653,-12.8
18,USC00010425,"AUBURN NUMBER 2, AL US",2015,32.5992,-85.4653,-11.7
20,USC00010425,"AUBURN NUMBER 2, AL US",2017,32.5992,-85.4653,-13.3
21,USC00010425,"AUBURN NUMBER 2, AL US",2018,32.5992,-85.4653,-10.0
22,USC00010425,"AUBURN NUMBER 2, AL US",2019,32.5992,-85.4653,-7.2
55,USC00010505,"BANKHEAD LOCK AND DAM, AL US",2014,33.4527,-87.3572,-13.3
57,USC00010505,"BANKHEAD LOCK AND DAM, AL US",2016,33.4527,-87.3572,-6.1
89,USC00010583,"BAY MINETTE, AL US",2016,30.884,-87.7852,-3.3
91,USC00010583,"BAY MINETTE, AL US",2018,30.884,-87.7852,-9.4
64,USC00010655,"BELLE MINA 2 N, AL US",2014,34.6891,-86.8819,-16.1
65,USC00010655,"BELLE MINA 2 N, AL US",2015,34.6891,-86.8819,-15.0
66,USC00010655,"BELLE MINA 2 N, AL US",2016,34.6891,-86.8819,-10.0
67,USC00010655,"BELLE MINA 2 N, AL US",2017,34.6891,-86.8819,-12.8
68,USC00010655,"BELLE MINA 2 N, AL US",2018,34.6891,-86.8819,-14.4
69,USC00010655,"BELLE MINA 2 N, AL US",2019,34.6891,-86.8819,-8.9
36,USC00010764,"BESSEMER 3 WSW, AL US",2014,33.3952,-87.0077,-14.4
37,USC00010764,"BESSEMER 3 WSW, AL US",2015,33.3952,-87.0077,-12.8
38,USC00010764,"BESSEMER 3 WSW, AL US",2016,33.3952,-87.0077,-7.8
39,USC00010764,"BESSEMER 3 WSW, AL US",2017,33.3952,-87.0077,-8.9
40,USC00010764,"BESSEMER 3 WSW, AL US",2018,33.3952,-87.0077,-12.8
41,USC00010764,"BESSEMER 3 WSW, AL US",2019,33.3952,-87.0077,-6.7
36,USC00011080,"BREWTON 3 ENE, AL US",2014,31.1413,-87.0486,-11.7
38,USC00011080,"BREWTON 3 ENE, AL US",2016,31.1413,-87.0486,-7.2
39,USC00011080,"BREWTON 3 ENE, AL US",2018,31.1413,-87.0486,-4.4
40,USC00011080,"BREWTON 3 ENE, AL US",2019,31.1413,-87.0486,-3.9
55,USC00011620,"CHILDERSBURG WATER PLANT, AL US",2014,33.285,-86.3431,-17.8
56,USC00011620,"CHILDERSBURG WATER PLANT, AL US",2015,33.285,-86.3431,-12.2
76,USC00011725,"CLAYTON, AL US",2015,31.8709,-85.4501,-11.1
20,USC00012096,"CULLMAN N.A.H.S., AL US",2015,34.1924,-86.7972,-15.6
33,USC00012172,"DAUPHIN ISLAND NUMBER 2, AL US",2014,30.2505,-88.0775,-5.0
12,USC00012209,"DECATUR 4 SE, AL US",2014,34.575559999999996,-86.93389,-13.9
14,USC00012209,"DECATUR 4 SE, AL US",2016,34.575559999999996,-86.93389,-8.9
5,USC00012350,"DORA, AL US",2014,33.74778,-87.05861,-15.6
6,USC00012350,"DORA, AL US",2015,33.74778,-87.05861,-13.3
56,USC00012245,"DEMOPOLIS LOCK AND DAM, AL US",2014,32.5193,-87.88,-12.8
57,USC00012245,"DEMOPOLIS LOCK AND DAM, AL US",2015,32.5193,-87.88,-10.6
75,USC00012758,"EVERGREEN, AL US",2014,31.4449,-86.9532,-11.1
76,USC00012758,"EVERGREEN, AL US",2015,31.4449,-86.9532,-10.6
77,USC00012758,"EVERGREEN, AL US",2016,31.4449,-86.9532,-5.0
85,USC00012813,"FAIRHOPE 2 NE, AL US",2014,30.5468,-87.8807,-10.0
86,USC00012813,"FAIRHOPE 2 NE, AL US",2015,30.5468,-87.8807,-8.9
87,USC00012813,"FAIRHOPE 2 NE, AL US",2016,30.5468,-87.8807,-4.4
88,USC00012813,"FAIRHOPE 2 NE, AL US",2017,30.5468,-87.8807,-7.2
89,USC00012813,"FAIRHOPE 2 NE, AL US",2018,30.5468,-87.8807,-10.0
90,USC00012813,"FAIRHOPE 2 NE, AL US",2019,30.5468,-87.8807,-6.1
67,USC00013043,"FORT PAYNE, AL US",2016,34.4406,-85.7236,-10.6
68,USC00013043,"FORT PAYNE, AL US",2017,34.4406,-85.7236,-13.3
69,USC00013043,"FORT PAYNE, AL US",2018,34.4406,-85.7236,-17.2
70,USC00013043,"FORT PAYNE, AL US",2019,34.4406,-85.7236,-9.4
52,USC00013154,"GADSDEN, AL US",2014,34.0219,-85.9878,-14.4
53,USC00013154,"GADSDEN, AL US",2015,34.0219,-85.9878,-10.6
55,USC00013154,"GADSDEN, AL US",2017,34.0219,-85.9878,-10.6
56,USC00013154,"GADSDEN, AL US",2018,34.0219,-85.9878,-12.8
64,USC00013160,"GAINESVILLE LOCK, AL US",2014,32.8347,-88.1341,-12.8
65,USC00013160,"GAINESVILLE LOCK, AL US",2015,32.8347,-88.1341,-11.7
36,USC00013251,"GENEVA NUMBER 2, AL US",2014,31.03833,-85.87083,-9.4
38,USC00013251,"GENEVA NUMBER 2, AL US",2016,31.03833,-85.87083,-4.4
39,USC00013251,"GENEVA NUMBER 2, AL US",2017,31.03833,-85.87083,-6.1
40,USC00013251,"GENEVA NUMBER 2, AL US",2018,31.03833,-85.87083,-8.3
41,USC00013251,"GENEVA NUMBER 2, AL US",2019,31.03833,-85.87083,-5.0
108,USC00013511,"GREENSBORO, AL US",2014,32.69212,-87.57603,-11.7
109,USC00013511,"GREENSBORO, AL US",2015,32.69212,-87.57603,-10.6
111,USC00013511,"GREENSBORO, AL US",2017,32.69212,-87.57603,-7.8
107,USC00013519,"GREENVILLE, AL US",2014,31.7901,-86.6087,-12.8
109,USC00013519,"GREENVILLE, AL US",2016,31.7901,-86.6087,-5.0
110,USC00013519,"GREENVILLE, AL US",2017,31.7901,-86.6087,-7.8
111,USC00013519,"GREENVILLE, AL US",2018,31.7901,-86.6087,-10.6
90,USC00013573,"GUNTERSVILLE, AL US",2014,34.3344,-86.3297,-14.4
91,USC00013573,"GUNTERSVILLE, AL US",2015,34.3344,-86.3297,-13.3
92,USC00013573,"GUNTERSVILLE, AL US",2016,34.3344,-86.3297,-7.8
93,USC00013573,"GUNTERSVILLE, AL US",2017,34.3344,-86.3297,-9.4
94,USC00013573,"GUNTERSVILLE, AL US",2018,34.3344,-86.3297,-14.4
95,USC00013573,"GUNTERSVILLE, AL US",2019,34.3344,-86.3297,-6.1
17,USC00013575,"GUNTERSVILLE NUMBER 2, AL US",2015,34.3347,-86.3294,-13.3
18,USC00013575,"GUNTERSVILLE NUMBER 2, AL US",2016,34.3347,-86.3294,-7.2
19,USC00013575,"GUNTERSVILLE NUMBER 2, AL US",2017,34.3347,-86.3294,-8.9
20,USC00013575,"GUNTERSVILLE NUMBER 2, AL US",2018,34.3347,-86.3294,-13.3
21,USC00013575,"GUNTERSVILLE NUMBER 2, AL US",2019,34.3347,-86.3294,-5.6
73,USC00013620,"HALEYVILLE, AL US",2014,34.2314,-87.6352,-17.2
74,USC00013620,"HALEYVILLE, AL US",2015,34.2314,-87.6352,-15.6
76,USC00013620,"HALEYVILLE, AL US",2018,34.2314,-87.6352,-16.1
52,USC00013645,"HAMILTON 3 S, AL US",2014,34.0966,-87.9913,-18.9
53,USC00013645,"HAMILTON 3 S, AL US",2015,34.0966,-87.9913,-17.2
55,USC00013645,"HAMILTON 3 S, AL US",2017,34.0966,-87.9913,-15.6
56,USC00013645,"HAMILTON 3 S, AL US",2018,34.0966,-87.9913,-16.1
57,USC00013645,"HAMILTON 3 S, AL US",2019,34.0966,-87.9913,-10.6
29,USC00013655,"HANCEVILLE, AL US",2014,34.0678,-86.791,-16.1
32,USC00013655,"HANCEVILLE, AL US",2017,34.0678,-86.791,-11.1
33,USC00013655,"HANCEVILLE, AL US",2018,34.0678,-86.791,-14.4
49,USC00013775,"HEFLIN, AL US",2014,33.64353,-85.60918000000001,-17.2
